input	reason	matches	symbol	organism.shortName	name	length	secondaryIdentifier	primaryIdentifier	class
TYW3	MATCH	1	TYW3	S. cerevisiae	Trna-YW synthesizing protein	822	YGL050W	S000003018	ORF
RFX1	MATCH	1	RFX1	S. cerevisiae	Regulatory Factor X	2436	YLR176C	S000004166	ORF
YPL066W	MATCH	1	RGL1	S. cerevisiae	Rho1 GEF Localizing	1440	YPL066W	S000005987	ORF
ACE2	MATCH	1	ACE2	S. cerevisiae	Activator of CUP1 Expression	2313	YLR131C	S000004121	ORF
YOR228C	MATCH	1	MCP1	S. cerevisiae	Mdm10 Complementing Protein	909	YOR228C	S000005754	ORF
YCR024C-B	MATCH	1		S. cerevisiae		267	YCR024C-B	S000028818	ORF
FAR1	MATCH	1	FAR1	S. cerevisiae	Factor ARrest	2493	YJL157C	S000003693	ORF
TIM44	MATCH	1	TIM44	S. cerevisiae	Translocase of the Inner Mitochondrial membrane	1296	YIL022W	S000001284	ORF
TOF2	MATCH	1	TOF2	S. cerevisiae	TOpoisomerase I-interacting Factor	2316	YKR010C	S000001718	ORF
PIF1	MATCH	1	PIF1	S. cerevisiae	Petite Integration Frequency	2580	YML061C	S000004526	ORF
TOF1	MATCH	1	TOF1	S. cerevisiae	TOpoisomerase I-interacting Factor	3717	YNL273W	S000005217	ORF
SRO7	MATCH	1	SRO7	S. cerevisiae	Suppressor of rho3	3102	YPR032W	S000006236	ORF
SLC1	MATCH	1	SLC1	S. cerevisiae	SphingoLipid Compensation	912	YDL052C	S000002210	ORF
BUG1	MATCH	1	BUG1	S. cerevisiae	Binder of USO1 and GRH1	1026	YDL099W	S000002257	ORF
YOX1	MATCH	1	YOX1	S. cerevisiae	Yeast homeobOX	1158	YML027W	S000004489	ORF
EOS1	MATCH	1	EOS1	S. cerevisiae	ER-localized and Oxidants Sensitive	1101	YNL080C	S000005024	ORF
MYO1	MATCH	1	MYO1	S. cerevisiae	MYOsin	5787	YHR023W	S000001065	ORF
MYO2	MATCH	1	MYO2	S. cerevisiae	MYOsin	4725	YOR326W	S000005853	ORF
DHH1	MATCH	1	DHH1	S. cerevisiae	DEAD box Helicase Homolog	1521	YDL160C	S000002319	ORF
PBY1	MATCH	1	PBY1	S. cerevisiae	P-BodY associated protein	2262	YBR094W	S000000298	ORF
HSP150	MATCH	1	HSP150	S. cerevisiae	Heat Shock Protein	1242	YJL159W	S000003695	ORF
MYO3	MATCH	1	MYO3	S. cerevisiae	MYOsin	3819	YKL129C	S000001612	ORF
FCY2	MATCH	1	FCY2	S. cerevisiae	FluoroCYtosine resistance	1602	YER056C	S000000858	ORF
CNM67	MATCH	1	CNM67	S. cerevisiae	Chaotic Nuclear Migration	1746	YNL225C	S000005169	ORF
YTA6	MATCH	1	YTA6	S. cerevisiae	Yeast Tat-binding Analog	2265	YPL074W	S000005995	ORF
TIM18	MATCH	1	TIM18	S. cerevisiae	Translocase of the Inner Mitochondrial membrane	579	YOR297C	S000005823	ORF
MSC7	MATCH	1	MSC7	S. cerevisiae	Meiotic Sister-Chromatid recombination	1935	YHR039C	S000001081	ORF
SNF2	MATCH	1	SNF2	S. cerevisiae	Sucrose NonFermenting	5112	YOR290C	S000005816	ORF
URH1	MATCH	1	URH1	S. cerevisiae	URidine Hydrolase	1023	YDR400W	S000002808	ORF
STR3	MATCH	1	STR3	S. cerevisiae	Sulfur TRansfer	1398	YGL184C	S000003152	ORF
PGA3	MATCH	1	PGA3	S. cerevisiae	Processing of Gas1p and ALP	939	YML125C	S000004594	ORF
SNF5	MATCH	1	SNF5	S. cerevisiae	Sucrose NonFermenting	2718	YBR289W	S000000493	ORF
GMH1	MATCH	1	GMH1	S. cerevisiae	Gea1-6 Membrane-associated High-copy suppressor	822	YKR030W	S000001738	ORF
AAC3	MATCH	1	AAC3	S. cerevisiae	ADP/ATP Carrier	924	YBR085W	S000000289	ORF
BDF2	MATCH	1	BDF2	S. cerevisiae	BromoDomain Factor	1917	YDL070W	S000002228	ORF
MSB2	MATCH	1	MSB2	S. cerevisiae	Multicopy Suppression of a Budding defect	3921	YGR014W	S000003246	ORF
YNL320W	MATCH	1		S. cerevisiae		855	YNL320W	S000005264	ORF
FAT1	MATCH	1	FAT1	S. cerevisiae	FATty acid transporter	2010	YBR041W	S000000245	ORF
POR2	MATCH	1	POR2	S. cerevisiae	PORin	846	YIL114C	S000001376	ORF
COY1	MATCH	1	COY1	S. cerevisiae	CASP Of Yeast	2040	YKL179C	S000001662	ORF
MSB4	MATCH	1	MSB4	S. cerevisiae	Multicopy Suppression of a Budding defect	1479	YOL112W	S000005472	ORF
MDG1	MATCH	1	MDG1	S. cerevisiae	Multicopy suppressor of Defective G-protein	1101	YNL173C	S000005117	ORF
YDR541C	MATCH	1		S. cerevisiae		1035	YDR541C	S000002949	ORF
YKR017C	MATCH	1	HEL1	S. cerevisiae	Histone E3 Ligase	1656	YKR017C	S000001725	ORF
RIB3	MATCH	1	RIB3	S. cerevisiae	RIBoflavin biosynthesis	627	YDR487C	S000002895	ORF
RIB4	MATCH	1	RIB4	S. cerevisiae	RIBoflavin biosynthesis	510	YOL143C	S000005503	ORF
CIN8	MATCH	1	CIN8	S. cerevisiae	Chromosome INstability	3003	YEL061C	S000000787	ORF
GIC1	MATCH	1	GIC1	S. cerevisiae	GTPase Interactive Component	945	YHR061C	S000001103	ORF
CIN2	MATCH	1	CIN2	S. cerevisiae	Chromosome INstability	887	YPL241C	S000006162	ORF
MSE1	MATCH	1	MSE1	S. cerevisiae	Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E)	1611	YOL033W	S000005393	ORF
AGP1	MATCH	1	AGP1	S. cerevisiae	high-Affinity Glutamine Permease	1902	YCL025C	S000000530	ORF
EXG1	MATCH	1	EXG1	S. cerevisiae	EXo-1,3-beta-Glucanase	1347	YLR300W	S000004291	ORF
EXG2	MATCH	1	EXG2	S. cerevisiae	EXo-1,3-beta-Glucanase	1689	YDR261C	S000002669	ORF
YEF1	MATCH	1	YEF1	S. cerevisiae		1488	YEL041W	S000000767	ORF
LAC1	MATCH	1	LAC1	S. cerevisiae	Longevity-Assurance gene Cognate (LAG1 Cognate)	1257	YKL008C	S000001491	ORF
SLD2	MATCH	1	SLD2	S. cerevisiae	Synthetically Lethal with Dpb11-1	1362	YKL108W	S000001591	ORF
YJR054W	MATCH	1	KCH1	S. cerevisiae	Potassium (K) regulator of CcH1	1494	YJR054W	S000003815	ORF
APC1	MATCH	1	APC1	S. cerevisiae	Anaphase Promoting Complex subunit	5247	YNL172W	S000005116	ORF
PIG1	MATCH	1	PIG1	S. cerevisiae	Protein Interacting with Gsy2p	1947	YLR273C	S000004263	ORF
STT4	MATCH	1	STT4	S. cerevisiae	STaurosporine and Temperature sensitive	5703	YLR305C	S000004296	ORF
YPR099C	MATCH	1		S. cerevisiae		357	YPR099C	S000006303	ORF
VHT1	MATCH	1	VHT1	S. cerevisiae	Vitamin H Transporter	1782	YGR065C	S000003297	ORF
ROM1	MATCH	1	ROM1	S. cerevisiae	RhO1 Multicopy suppressor	3468	YGR070W	S000003302	ORF
STT3	MATCH	1	STT3	S. cerevisiae	STaurosporine and Temperature sensitive	2157	YGL022W	S000002990	ORF
SCS2	MATCH	1	SCS2	S. cerevisiae	Suppressor of Choline Sensitivity	735	YER120W	S000000922	ORF
SLD5	MATCH	1	SLD5	S. cerevisiae	Synthetic Lethality with Dpb11-1	885	YDR489W	S000002897	ORF
YLL032C	MATCH	1		S. cerevisiae		2478	YLL032C	S000003955	ORF
FAR11	MATCH	1	FAR11	S. cerevisiae	Factor ARrest	2862	YNL127W	S000005071	ORF
IMD2	MATCH	1	IMD2	S. cerevisiae	IMP Dehydrogenase	1572	YHR216W	S000001259	ORF
IMD4	MATCH	1	IMD4	S. cerevisiae	IMP Dehydrogenase	1983	YML056C	S000004520	ORF
STU2	MATCH	1	STU2	S. cerevisiae	Suppressor of TUbulin	2667	YLR045C	S000004035	ORF
STU1	MATCH	1	STU1	S. cerevisiae	Suppressor of TUbulin	4542	YBL034C	S000000130	ORF
PMP1	MATCH	1	PMP1	S. cerevisiae	Plasma Membrane Proteolipid	123	YCR024C-A	S000000619	ORF
HAP4	MATCH	1	HAP4	S. cerevisiae	Heme Activator Protein	1665	YKL109W	S000001592	ORF
YOL159C-A	MATCH	1		S. cerevisiae		273	YOL159C-A	S000007627	ORF
OPY2	MATCH	1	OPY2	S. cerevisiae	Overproduction-induced Pheromone-resistant Yeast	1083	YPR075C	S000006279	ORF
ODC2	MATCH	1	ODC2	S. cerevisiae	OxoDicarboxylate Carrier	924	YOR222W	S000005748	ORF
CTF4	MATCH	1	CTF4	S. cerevisiae	Chromosome Transmission Fidelity	2784	YPR135W	S000006339	ORF
CTF3	MATCH	1	CTF3	S. cerevisiae	Chromosome Transmission Fidelity	2202	YLR381W	S000004373	ORF
APD1	MATCH	1	APD1	S. cerevisiae	Actin Patches Distal	951	YBR151W	S000000355	ORF
DLT1	MATCH	1	DLT1	S. cerevisiae	Defect at Low Temperature	1029	YMR126C	S000004733	ORF
ODC1	MATCH	1	ODC1	S. cerevisiae	OxoDicarboxylate Carrier	933	YPL134C	S000006055	ORF
SAR1	MATCH	1	SAR1	S. cerevisiae	Secretion-Associated, Ras-related	712	YPL218W	S000006139	ORF
NVJ1	MATCH	1	NVJ1	S. cerevisiae	Nucleus-Vacuole Junction	966	YHR195W	S000001238	ORF
GGA1	MATCH	1	GGA1	S. cerevisiae	Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein	1674	YDR358W	S000002766	ORF
DYN1	MATCH	1	DYN1	S. cerevisiae	DYNein	12279	YKR054C	S000001762	ORF
UTR2	MATCH	1	UTR2	S. cerevisiae	Unidentified TRanscript	1404	YEL040W	S000000766	ORF
UTR1	MATCH	1	UTR1	S. cerevisiae	Unidentified TRanscript	1593	YJR049C	S000003810	ORF
DYN3	MATCH	1	DYN3	S. cerevisiae	DYNein	939	YMR299C	S000004914	ORF
APC9	MATCH	1	APC9	S. cerevisiae	Anaphase Promoting Complex	798	YLR102C	S000004092	ORF
YJR030C	MATCH	1	RBH2	S. cerevisiae	Ran Binding domain Homolog	2238	YJR030C	S000003791	ORF
PMS1	MATCH	1	PMS1	S. cerevisiae	PostMeiotic Segregation	2622	YNL082W	S000005026	ORF
PEA2	MATCH	1	PEA2	S. cerevisiae	PEAnut shmoo mutant	1263	YER149C	S000000951	ORF
SPN1	MATCH	1	SPN1	S. cerevisiae	Suppresses Postrecruitment functions gene Number 1	1233	YPR133C	S000006337	ORF
MDH3	MATCH	1	MDH3	S. cerevisiae	Malate DeHydrogenase	1032	YDL078C	S000002236	ORF
ISR1	MATCH	1	ISR1	S. cerevisiae	Inhibition of Staurosporine Resistance	1332	YPR106W	S000006310	ORF
SEY1	MATCH	1	SEY1	S. cerevisiae	Synthetic Enhancement of YOP1	2331	YOR165W	S000005691	ORF
RSC58	MATCH	1	RSC58	S. cerevisiae	Remodel the Structure of Chromatin	1509	YLR033W	S000004023	ORF
RNH202	MATCH	1	RNH202	S. cerevisiae	RNase H	1053	YDR279W	S000002687	ORF
RNH203	MATCH	1	RNH203	S. cerevisiae	RNase H	333	YLR154C	S000004144	ORF
SRS2	MATCH	1	SRS2	S. cerevisiae	Suppressor of Rad Six	3525	YJL092W	S000003628	ORF
NGL1	MATCH	1	NGL1	S. cerevisiae		1092	YOL042W	S000005402	ORF
NGL2	MATCH	1	NGL2	S. cerevisiae		1548	YMR285C	S000004898	ORF
RNH201	MATCH	1	RNH201	S. cerevisiae	RNase H	924	YNL072W	S000005016	ORF
CST26	MATCH	1	CST26	S. cerevisiae	Chromosome STability	1194	YBR042C	S000000246	ORF
HTZ1	MATCH	1	HTZ1	S. cerevisiae	Histone Two A Z1	405	YOL012C	S000005372	ORF
UNG1	MATCH	1	UNG1	S. cerevisiae	Uracil DNA N-Glycosylase	1080	YML021C	S000004483	ORF
RIF1	MATCH	1	RIF1	S. cerevisiae	RAP1-Interacting Factor	5751	YBR275C	S000000479	ORF
ISU2	MATCH	1	ISU2	S. cerevisiae	IscU homolog	471	YOR226C	S000005752	ORF
YGL039W	MATCH	1		S. cerevisiae		1047	YGL039W	S000003007	ORF
HLJ1	MATCH	1	HLJ1	S. cerevisiae	HomoLogous to E. coli dnaJ protein	675	YMR161W	S000004771	ORF
WTM2	MATCH	1	WTM2	S. cerevisiae	WD repeat containing Transcriptional Modulator	1404	YOR229W	S000005755	ORF
MUM3	MATCH	1	MUM3	S. cerevisiae	MUddled Meiosis	1440	YOR298W	S000005824	ORF
CTF18	MATCH	1	CTF18	S. cerevisiae	Chromosome Transmission Fidelity	2226	YMR078C	S000004683	ORF
YOR378W	MATCH	1	AMF1	S. cerevisiae	AMmonium Facilitator	1548	YOR378W	S000005905	ORF
TBS1	MATCH	1	TBS1	S. cerevisiae	ThiaBendazole Sensitive	3285	YBR150C	S000000354	ORF
CAB4	MATCH	1	CAB4	S. cerevisiae	Coenzyme A Biosynthesis	918	YGR277C	S000003509	ORF
YBL068W-A	MATCH	1		S. cerevisiae		237	YBL068W-A	S000028530	ORF
CAB1	MATCH	1	CAB1	S. cerevisiae	Coenzyme A Biosynthesis	1104	YDR531W	S000002939	ORF
YER130C	MATCH	1	COM2	S. cerevisiae	Cousin of Msn2	1332	YER130C	S000000932	ORF
AEP3	MATCH	1	AEP3	S. cerevisiae	ATPase ExPression	1821	YPL005W	S000005926	ORF
YMR111C	MATCH	1	EUC1	S. cerevisiae	Enriches Ubiquitin on Chromatin	1389	YMR111C	S000004717	ORF
MHT1	MATCH	1	MHT1	S. cerevisiae	S-Methylmethionine-Homocysteine methylTransferase	975	YLL062C	S000003985	ORF
YLR173W	MATCH	1	TAG1	S. cerevisiae	Termination of AutophaGy	1827	YLR173W	S000004163	ORF
NIS1	MATCH	1	NIS1	S. cerevisiae	Neck protein Interacting with Septins	1224	YNL078W	S000005022	ORF
RGA2	MATCH	1	RGA2	S. cerevisiae	Rho GTPase Activating Protein	3030	YDR379W	S000002787	ORF
YLR042C	MATCH	1	NFG1	S. cerevisiae	Negative regulator of the Filamentous Growth MAPK pathway	486	YLR042C	S000004032	ORF
YNL144C	MATCH	1		S. cerevisiae		2223	YNL144C	S000005088	ORF
VMA6	MATCH	1	VMA6	S. cerevisiae	Vacuolar Membrane Atpase	1038	YLR447C	S000004439	ORF
YNL146C-A	MATCH	1		S. cerevisiae		195	YNL146C-A	S000028851	ORF
SAS3	MATCH	1	SAS3	S. cerevisiae	Something About Silencing	2496	YBL052C	S000000148	ORF
IST2	MATCH	1	IST2	S. cerevisiae	Increased Sodium Tolerance	2841	YBR086C	S000000290	ORF
SAS2	MATCH	1	SAS2	S. cerevisiae	Something About Silencing	1017	YMR127C	S000004734	ORF
SCW4	MATCH	1	SCW4	S. cerevisiae	Soluble Cell Wall protein	1161	YGR279C	S000003511	ORF
GAL80	MATCH	1	GAL80	S. cerevisiae	GALactose metabolism	1308	YML051W	S000004515	ORF
SAP30	MATCH	1	SAP30	S. cerevisiae	Sin3-Associated Polypeptide	606	YMR263W	S000004876	ORF
MSH6	MATCH	1	MSH6	S. cerevisiae	MutS Homolog	3729	YDR097C	S000002504	ORF
CAC2	MATCH	1	CAC2	S. cerevisiae	Chromatin Assembly Complex	1407	YML102W	S000004570	ORF
YBR071W	MATCH	1		S. cerevisiae		636	YBR071W	S000000275	ORF
MSH2	MATCH	1	MSH2	S. cerevisiae	MutS Homolog	2895	YOL090W	S000005450	ORF
MSH5	MATCH	1	MSH5	S. cerevisiae	MutS Homolog	2706	YDL154W	S000002313	ORF
PMT4	MATCH	1	PMT4	S. cerevisiae	Protein O-MannosylTransferase	2289	YJR143C	S000003904	ORF
ACM1	MATCH	1	ACM1	S. cerevisiae	APC/C[Cdh1] Modulator	630	YPL267W	S000006188	ORF
CIS3	MATCH	1	CIS3	S. cerevisiae	CIk1 Suppressing	684	YJL158C	S000003694	ORF
PMT3	MATCH	1	PMT3	S. cerevisiae	Protein O-MannosylTransferase	2262	YOR321W	S000005848	ORF
PMT6	MATCH	1	PMT6	S. cerevisiae	Protein O-MannosylTransferase	2280	YGR199W	S000003431	ORF
PMT5	MATCH	1	PMT5	S. cerevisiae	Protein O-MannosylTransferase	2232	YDL093W	S000002251	ORF
PIL1	MATCH	1	PIL1	S. cerevisiae	Phosphorylation Inhibited by Long chain bases	1020	YGR086C	S000003318	ORF
DUG2	MATCH	1	DUG2	S. cerevisiae	Deficient in Utilization of Glutathione	2637	YBR281C	S000000485	ORF
DUG3	MATCH	1	DUG3	S. cerevisiae	Deficient in Utilization of Glutathione	1074	YNL191W	S000005135	ORF
PMT2	MATCH	1	PMT2	S. cerevisiae	Protein O-MannosylTransferase	2280	YAL023C	S000000021	ORF
PMT1	MATCH	1	PMT1	S. cerevisiae	Protein O-MannosylTransferase	2454	YDL095W	S000002253	ORF
FLR1	MATCH	1	FLR1	S. cerevisiae	FLuconazole Resistance	1647	YBR008C	S000000212	ORF
YGP1	MATCH	1	YGP1	S. cerevisiae	Yeast GlycoProtein	1065	YNL160W	S000005104	ORF
ARL3	MATCH	1	ARL3	S. cerevisiae	ADP-Ribosylation factor-Like	597	YPL051W	S000005972	ORF
ISW1	MATCH	1	ISW1	S. cerevisiae	Imitation SWitch subfamily	3390	YBR245C	S000000449	ORF
PXL1	MATCH	1	PXL1	S. cerevisiae	PaXillin-Like protein	2121	YKR090W	S000001798	ORF
YMR245W	MATCH	1		S. cerevisiae		621	YMR245W	S000004859	ORF
AVT4	MATCH	1	AVT4	S. cerevisiae	Amino acid Vacuolar Transport	2142	YNL101W	S000005045	ORF
SPT16	MATCH	1	SPT16	S. cerevisiae	SuPpressor of Ty	3108	YGL207W	S000003175	ORF
AVT1	MATCH	1	AVT1	S. cerevisiae	Amino acid Vacuolar Transport	1809	YJR001W	S000003761	ORF
YNL058C	MATCH	1		S. cerevisiae		951	YNL058C	S000005003	ORF
AVT2	MATCH	1	AVT2	S. cerevisiae	Amino acid Vacuolar Transport	1443	YEL064C	S000000790	ORF
GEA1	MATCH	1	GEA1	S. cerevisiae	Guanine nucleotide Exchange on ARF	4227	YJR031C	S000003792	ORF
CAD1	MATCH	1	CAD1	S. cerevisiae	CADmium resistance	1230	YDR423C	S000002831	ORF
YNL010W	MATCH	1	PYP1	S. cerevisiae	PolYol Phosphatase	726	YNL010W	S000004955	ORF
RVB1	MATCH	1	RVB1	S. cerevisiae	RuVB-like	1392	YDR190C	S000002598	ORF
YML053C	MATCH	1		S. cerevisiae		639	YML053C	S000004517	ORF
YER152C	MATCH	1		S. cerevisiae		1332	YER152C	S000000954	ORF
RKM1	MATCH	1	RKM1	S. cerevisiae	Ribosomal lysine (K) Methyltransferase	1752	YPL208W	S000006129	ORF
DSF2	MATCH	1	DSF2	S. cerevisiae	Deletion Suppressor of mptFive/pufFive mutation	2211	YBR007C	S000000211	ORF
CIT2	MATCH	1	CIT2	S. cerevisiae	CITrate synthase	1383	YCR005C	S000000598	ORF
CIT1	MATCH	1	CIT1	S. cerevisiae	CITrate synthase	1440	YNR001C	S000005284	ORF
YDR061W	MATCH	1		S. cerevisiae		1620	YDR061W	S000002468	ORF
YGR153W	MATCH	1		S. cerevisiae		654	YGR153W	S000003385	ORF
YIL001W	MATCH	1		S. cerevisiae		1542	YIL001W	S000001263	ORF
CTK2	MATCH	1	CTK2	S. cerevisiae	Carboxy-Terminal domain Kinase	972	YJL006C	S000003543	ORF
BLM10	MATCH	1	BLM10	S. cerevisiae	BLeoMycin resistance	6432	YFL007W	S000001887	ORF
SCY1	MATCH	1	SCY1	S. cerevisiae		2415	YGL083W	S000003051	ORF
MOB1	MATCH	1	MOB1	S. cerevisiae	Mps One Binder	1030	YIL106W	S000001368	ORF
YNL057W	MATCH	1		S. cerevisiae		333	YNL057W	S000005002	ORF
PIN2	MATCH	1	PIN2	S. cerevisiae	Psi+ INducibility	849	YOR104W	S000005630	ORF
SPS4	MATCH	1	SPS4	S. cerevisiae	SPorulation Specific trancript	1017	YOR313C	S000005840	ORF
ACO1	MATCH	1	ACO1	S. cerevisiae	ACOnitase	2337	YLR304C	S000004295	ORF
DSE2	MATCH	1	DSE2	S. cerevisiae	Daughter Specific Expression	978	YHR143W	S000001186	ORF
ROT2	MATCH	1	ROT2	S. cerevisiae	Reversal Of Tor2 lethality	2865	YBR229C	S000000433	ORF
YCG1	MATCH	1	YCG1	S. cerevisiae	Yeast Cap G	3108	YDR325W	S000002733	ORF
PTC7	MATCH	1	PTC7	S. cerevisiae	Phosphatase type Two C	1125	YHR076W	S000001118	ORF
MDM1	MATCH	1	MDM1	S. cerevisiae	Mitochondrial Distribution and Morphology	3384	YML104C	S000004572	ORF
POL12	MATCH	1	POL12	S. cerevisiae	POLymerase	2118	YBL035C	S000000131	ORF
YBL113C	MATCH	1		S. cerevisiae		2379	YBL113C	S000002153	ORF
SHE2	MATCH	1	SHE2	S. cerevisiae	Swi5p-dependent HO Expression	741	YKL130C	S000001613	ORF
REB1	MATCH	1	REB1	S. cerevisiae	RNA polymerase I Enhancer Binding protein	2433	YBR049C	S000000253	ORF
YAR029W	MATCH	1		S. cerevisiae		225	YAR029W	S000000077	ORF
FHL1	MATCH	1	FHL1	S. cerevisiae	Fork Head-Like	2811	YPR104C	S000006308	ORF
SHE1	MATCH	1	SHE1	S. cerevisiae	Sensitivity to High Expression	1017	YBL031W	S000000127	ORF
SLM5	MATCH	1	SLM5	S. cerevisiae	Synthetic Lethal with Mss4	1479	YCR024C	S000000618	ORF
CRH1	MATCH	1	CRH1	S. cerevisiae	Congo Red Hypersensitive	1524	YGR189C	S000003421	ORF
HHF1	MATCH	1	HHF1	S. cerevisiae	Histone H Four	312	YBR009C	S000000213	ORF
YJL118W	MATCH	1		S. cerevisiae		660	YJL118W	S000003654	ORF
HHF2	MATCH	1	HHF2	S. cerevisiae	Histone H Four	312	YNL030W	S000004975	ORF
MAK32	MATCH	1	MAK32	S. cerevisiae	MAintenance of Killer	1092	YCR019W	S000000612	ORF
YJR015W	MATCH	1		S. cerevisiae		1533	YJR015W	S000003776	ORF
SWC4	MATCH	1	SWC4	S. cerevisiae	SWr Complex	1431	YGR002C	S000003234	ORF
EXO1	MATCH	1	EXO1	S. cerevisiae	EXOnuclease	2109	YOR033C	S000005559	ORF
DDI1	MATCH	1	DDI1	S. cerevisiae	DNA Damage Inducible	1287	YER143W	S000000945	ORF
EXO5	MATCH	1	EXO5	S. cerevisiae	EXOnuclease V	1758	YBR163W	S000000367	ORF
YGR042W	MATCH	1	MTE1	S. cerevisiae	Mph1-associated TElomere maintenance protein	816	YGR042W	S000003274	ORF
RKM4	MATCH	1	RKM4	S. cerevisiae	Ribosomal lysine (K) Methyltransferase	1485	YDR257C	S000002665	ORF
YOR248W	MATCH	1		S. cerevisiae		303	YOR248W	S000005774	ORF
IML3	MATCH	1	IML3	S. cerevisiae	Increased Minichromosome Loss	738	YBR107C	S000000311	ORF
CTM1	MATCH	1	CTM1	S. cerevisiae	CyTochrome c Methyltransferase	1758	YHR109W	S000001151	ORF
MCM22	MATCH	1	MCM22	S. cerevisiae	MiniChromosome Maintenance	720	YJR135C	S000003896	ORF
YNR061C	MATCH	1		S. cerevisiae		660	YNR061C	S000005344	ORF
FDC1	MATCH	1	FDC1	S. cerevisiae	Ferulic acid DeCarboxylase	1512	YDR539W	S000002947	ORF
MSL1	MATCH	1	MSL1	S. cerevisiae	MUD Synthetic Lethal	336	YIR009W	S000001448	ORF
DYS1	MATCH	1	DYS1	S. cerevisiae	DeoxyhYpusine Synthase	1164	YHR068W	S000001110	ORF
